displaytitle,description,class
How to Cast a Play,Watch how they recover from mistakes,31-40secs
How to Do Nipple Stimulation to Induce Labor,Keep an induction diary,31-40secs
How to Do Nipple Stimulation to Induce Labor,Apply lubrication,11-20secs
How to Do Nipple Stimulation to Induce Labor,Apply hot compresses,51-60secs
How to Do Nipple Stimulation to Induce Labor,Get your partner involved,31-40secs
How to Ask Questions in a News Conference,Ask answerable questions,31-40secs
How to Survive Menopause,Download a period tracker app,1-10secs
How to Be Quiet During Class,Come to class prepared,21-30secs
How to Prevent Recurrent Miscarriages,Make an appointment before conception,21-30secs
How to Cure a Chicken from Egg Bound,Keep her warm and comfortable,21-30secs
How to Cure a Chicken from Egg Bound,Consult your vet,41-50secs
How to Sleep Better when You Have Depression,Keep the lighting low,11-20secs
How to Deal With the Situation when You Are Caught Cheating in a Test,Prepare for a discussion with authorities,31-40secs
How to Sleep Peacefully and Have Good Dreams at the Same Time,Play soothing sounds in the background,31-40secs
How to Change a Bad Report Card,Pay closer attention in class,51-60secs
How to Dress to Play Volleyball,Put on a sports bra,41-50secs
How to Have an Awesome Last Day of School,Pass your yearbook around to get signatures,31-40secs
How to Keep Your Vagina Cleaner,Wash your vulva daily with suitable soap and water,31-40secs
How to Know if You Have an Ovarian Cyst,Treat ovarian cysts,31-40secs
How to Organize Your Bag Binder and Locker,A good system to go by is get one 2 inch binder for all your subjects,31-40secs
How to Cope With Your Changing Body Image During Pregnancy,Accept the changes by understanding why they happen,31-40secs
How to Deal with a Teacher Picking on You,Set up a meeting with your teacher,41-50secs
How to Juice a Softball Bat,Roll the bat parallel,31-40secs
How to Write a Letter Asking for an Extension,Prepare a header section,41-50secs
How to Behave when Your Teacher Has Not Checked Your Paper Correctly,Make sure the teacher actually marked it wrong,31-40secs
How to Start a Sleeve Tattoo,Think of images and symbols that matter most to you,21-30secs
How to Cradle a Lacrosse Ball,Use your dominant hand to control the stick,21-30secs
How to Take Care of a Wild Bird,Feed adult birds only if necessary,31-40secs
How to Be Your Math Teacher's Favorite Student,Thank your teacher,11-20secs
How to Land an Entry Level Technical Writing Job,Choose your technical writing track,41-50secs
How to Get a Physician Medical Massage Referral,Identify a condition or injury that can benefit from medical massage,31-40secs
How to Block out Noise at Night,Wear earplugs,21-30secs
How to Block out Noise at Night,Cover up the noise with white noise,51-60secs
How to Block out Noise at Night,Invest in high-tech noise suppression products,31-40secs
How to Keep Smoking Systematically Without Getting Addicted,Visit nonsmoking places,31-40secs
How to Train for an Obstacle Course Race,Practice for crawling obstacles with the bear crawl,1-10secs
How to Deal With Abortion,Listen to all post instructions,1-10secs
How to Have Sex with Someone with Herpes,Recognize the symptoms of a herpes outbreak,31-40secs
How to Avoid Air Pollution During Pregnancy,Pay attention to the outdoor air quality,1-10secs
How to Stretch Your Back Using a Foam Roller,Open your chest muscles,21-30secs
How to Sleep with a Pinched Nerve,Use over-the-counter painkillers as needed,31-40secs
How to Stop Taking Prozac,Learn how Prozac works,31-40secs
How to Stop Taking Prozac,Consider your side effects,1-10secs
How to Stop Taking Prozac,Recognize emergency side effects,21-30secs
How to Stop Taking Prozac,Think about whether Prozac is controlling your symptoms,21-30secs
How to Stop Taking Prozac,Understand the dangers of discontinuing antidepressants,1-10secs
How to Clean Ear Gauges,Wash your hands,11-20secs
How to Treat Vibration Induced Hives,Avoid known triggers,31-40secs
How to Teach Students to Write Main Body Paragraphs Using the T.E.X.A.S. Formula,Have the students come up with a topic sentence,31-40secs
