title,action,label
Come Out As a Gay or Lesbian Teen,Before coming out think of what questions they might ask and have answers in mind just in case.,minutes
Come Out As a Gay or Lesbian Teen,Start with close friends.,hours
Come Out As a Gay or Lesbian Teen,Come out in a way that feels good.,minutes
Come Out As a Gay or Lesbian Teen,Understand that this is something that might have an impact on certain aspects of your life.,minutes
Come Out As a Gay or Lesbian Teen,Remember: Coming out is a process.,minutes
Fight Mobs in Minecraft,Go to the End.,minutes
Enjoy High School,Join a club.,hours
Enjoy High School,Try playing a sport.,hours
Get a Dark Beard,Prepare the dye.,hours
Get a Dark Beard,Check the color.,minutes
Get a Dark Beard,Touch up the color weekly.,minutes
Screenshot a Snapchat,Log out of Snapchat.,hours
Screenshot a Snapchat,Wait for it to close.,hours
Win a Sit N Go Poker Tournament,Play tight against loose players and loose against tight players,hours
Ask a Customer for Identification In the UK,Check the identification.,minutes
Ask a Customer for Identification In the UK,Look out for the Proxy Sales!,hours
Beat Friends at Super Smash Brothers Melee,Learn how to juggle.,hours
Know if It's Postpartum Bleeding or a Period,Note the timing.,seconds
Know if It's Postpartum Bleeding or a Period,Know the causes of postpartum bleeding.,minutes
Know if It's Postpartum Bleeding or a Period,Know the causes of menstrual bleeding.,minutes
Decorate a Ceiling for a Wedding,Plan a series of gossamer fabric drapes starting from the center of the room and attaching to the corners of the rooms.,minutes
Decorate a Ceiling for a Wedding,Hang paper lanterns from the beams.,minutes
Decorate a Ceiling for a Wedding,Mix and match any of these ideas to create a bolder brighter look.,minutes
Choose the Right Sewing Machine Needle,Quilt with a quilting needle.,hours
Write an Article About an Organisation,Start early.,minutes
Become an Electrician in Oklahoma,Evaluate what type of electrician license you need.,minutes
Become an Electrician in Oklahoma,Pass the unlimited electrical journeyman exam.,hours
Become an Electrician in Oklahoma,Pay the residential electrical contractor fees.,hours
Become an Electrician in Oklahoma,Obtain a refinery electrical journeyman license.,hours
Apply a French Polish,Build a fresh pad then add a few drops shellac and several drops of alcohol to the cloth.,hours
Apply a French Polish,Allow the work to sit for a couple of hours so any oil can come to the surface.,hours
Apply a French Polish,Let the work sit for several hours so it can dry completely then repeat the boding stiffing and spiriting sessions.,hours
Apply a French Polish,Polish the surface with rottenstone and olive oil.,hours
Apply a French Polish,Finish with a thin coat of furniture wax to help protect your French polish from damage.,hours
Build a Cat House,Find building materials.,minutes
Dehydrate Raspberries,Wash the raspberries.,hours
Dehydrate Raspberries,Sort through the raspberries.,hours
Remember to Take Medication,Incorporate your medication into daily activities.,longer
Prove Murder,Check if you can sue.,minutes
Prove Murder,Present evidence.,hours
Prove Murder,Cross-examine witnesses.,hours
Prove Murder,Deliver closing arguments.,hours
Wear Red Shoes,Avoid wearing red shoes with trashy or suggestive pieces.,hours
See the Positive Effects of Acne,Think about the good that has come out of your acne.,minutes
Update Your Fashion Wardrobe With Bows,Consider pairing glossy cloth bows with pearls to create an old-fashioned classic look.,minutes
Update Your Fashion Wardrobe With Bows,Look for a large leather shoulder purse with a bow attached to the side or front.,minutes
Minimize Cancer Causing Acetaldehyde Exposure from Alcoholic Beverages,Maintain excellent oral hygiene.,minutes
Sculpt Using Polymer Clay,Make a wire skeleton for your sculpture.,minutes
Sculpt Using Polymer Clay,Bulk out with tinfoil.,minutes
Sculpt Using Polymer Clay,Refine your sculpture.,hours
Find the Area of an Isosceles Triangle,Solve for h. Remember the area formula uses b and h but you don't know the value of h yet.,minutes
Start a Retail Firework Business,Advertise.,days
Make a Daft Punk Helmet,Download and print the mask files.,hours
Make a Daft Punk Helmet,Cutout and tint the clear plastic visor.,hours
Make a Daft Punk Helmet,Attach the tinted visor to the helmet.,hours
Make a Daft Punk Helmet,Attach the LED belt buckle to the visor.,hours
Get a Room Like Zoey 101's,Make a list of specific things you like from what you find.,hours
Get a Room Like Zoey 101's,Create a budget.,hours
Get a Room Like Zoey 101's,Paint the room.,hours
Pick the Perfect Gift for Your Boyfriend or Girlfriend in Middle School,Take note of their interests.,minutes
Pick the Perfect Gift for Your Boyfriend or Girlfriend in Middle School,Wrap your gift.,seconds
Create a Summer Reading List,Consider how much time you will have and how you will manage it.,hours
Create a Summer Reading List,Ask your friends and family for recommendations.,minutes
Dye Fabric With Coffee,Wash and dry the fabric gently.,minutes
Have an Open Relationship,Bring up the topic of an open relationship and ask what your partner thinks about it.,minutes
Have an Open Relationship,Establish ground rules about how far each partner can go.,minutes
Have an Open Relationship,Finally be sure to express that communication will be the absolute key to making the relationship successful.,minutes
Take Care of Tiger Salamanders,Create hiding spaces.,minutes
Take Care of Tiger Salamanders,Monitor the temperature and lighting.,minutes
Take Care of Tiger Salamanders,Ensure your hands are clean.,minutes
Raise a Cat,Give your cat a cozy place to sleep.,minutes
Raise a Cat,Brush your cat regularly.,minutes
Be a Great Waitress,Clear old dishes promptly but not without talking to the customer.,minutes
Have a Great Girls' Night Out (Teens),Have a Box Party!,hours
Have a Great Girls' Night Out (Teens),Go eat at the local hotspot or one of your friends' favorite places and gossip!,minutes
Have a Great Girls' Night Out (Teens),Hit the local cinema or go to a concert!,hours
Have a Great Girls' Night Out (Teens),Have a dance fever.,minutes
Have a Great Girls' Night Out (Teens),Host a slumber party!,minutes
Have a Great Girls' Night Out (Teens),Have blindfolded makeovers.,minutes
Have a Great Girls' Night Out (Teens),Make a video!,minutes
Have a Great Girls' Night Out (Teens),Go to the beach!,minutes
Have a Great Girls' Night Out (Teens),Get your bro in the action.,minutes
Work Effectively with an Online Tutor,Choose your tutor with care.,minutes
Work Effectively with an Online Tutor,Have a chat with your tutor before deciding.,minutes
Work Effectively with an Online Tutor,Review the costs.,minutes
Work Effectively with an Online Tutor,Try to spend quality time with your online tutor.,minutes
Work Effectively with an Online Tutor,Develop a schedule or routine for each tutoring session.,minutes
Grow Rosemary from Seed,Start the seeds 6 to 12 weeks before warm weather hits.,minutes
Become Goth and Stay Yourself,Discover why you want to be Goth.,hours
Become Goth and Stay Yourself,Do your research.,minutes
Become Goth and Stay Yourself,Listen to some Gothic music.,minutes
Become Goth and Stay Yourself,Find your Goth type.,minutes
Learn French Fast,Learn the structure of the language.,days
Learn French Fast,Learn how to ask for help.,hours
Start a Digital Media Ad Agency,Talk to a lawyer or accountant about how to start a digital media ad agency.,minutes
Grout,Seal your tiles.,minutes
Grout,Allow the grout to cure completely.,minutes
Grout,Apply a sealant.,minutes
Organize a Parade,Decide on the magnitude of the parade.,minutes
Organize a Parade,Set a time and date for the parade.,minutes
Organize a Parade,Organize the time line of the parade.,minutes
Choose the Right Food for You,Read the label!,days
Make a Boo Boo Bunny,Spread out a square-shaped washcloth on your table.,seconds
Make Cookie Cups,Prepare the cookie dough according to the recipe.,minutes
Make Cookie Cups,Bake the cookies in a preheated oven at for about 12 to 15 minutes.,minutes
Make Cookie Cups,Fill the cookie cups.,minutes
Calculate Population Density,Determine the population.,hours
Calculate Population Density,Balance your data.,minutes
Calculate Population Density,Compare population density.,minutes
Calculate Population Density,Try including population growth.,minutes
Survive a Warped Tour Concert,Get plenty of sleep the night before.,hours
Survive a Warped Tour Concert,Take a shower before you leave!,minutes
Survive a Warped Tour Concert,Wear appropriate clothing.,minutes
Survive a Warped Tour Concert,Get to Warped Tour early!,minutes
Survive a Warped Tour Concert,When you get in check out everything.,minutes
Survive a Warped Tour Concert,Get to your favorite bands early.,minutes
Survive a Warped Tour Concert,Be careful in mosh pits.,minutes
Survive a Warped Tour Concert,Be with other people.,minutes
Survive a Warped Tour Concert,Meet bands!,minutes
Complete Navea Titles in Aura Kingdom,Play hide-and-seek.,minutes
Fertilize Herbs,Water the herbs with plain water.,seconds
Become a Farmer at Fifty,Visit farms in your area and talk to experienced farmers.,hours
Become a Farmer at Fifty,Figure out your budget.,minutes
Use Nose Hair Removal Cream,Read all labels.,seconds
Treat a Dog Bite,Apply an antibiotic ointment.,minutes
Treat a Dog Bite,Change the bandage as necessary.,minutes
Treat a Dog Bite,Update your immunizations.,minutes
Treat a Dog Bite,Seek medical attention for other health-related complications.,hours
Play the Human Knot Game,Explain the rules.,minutes
Play the Human Knot Game,Inspect the knot you have formed.,minutes
Play the Human Knot Game,Form a circle by untangling your knot.,minutes
Play the Human Knot Game,Use the Human Knot to learn names.,minutes
Play the Human Knot Game,Have a human knot unraveling race.,minutes
Post on Facebook Via Text,View your mobile settings.,seconds
Post on Facebook Via Text,Change or confirm your phone number settings.,minutes
Post on Facebook Via Text,Type your status update.,seconds
Make Halloween Props,Purchase pieces of blue or pink insulating foam boards.,minutes
Make Halloween Props,Paint the name date and epitaph onto the gravestone.,minutes
Treat and Play With a Porcelain Doll,Get ready to name her.,seconds
Treat and Play With a Porcelain Doll,Dress her up.,seconds
Celebrate St. Lucia Day,Buy or make the dresses for Lucia and the Maidens.,hours
Celebrate St. Lucia Day,Find costumes for the boys.,hours
Celebrate St. Lucia Day,Buy white candles.,hours
Wear a Denim Vest,Pair your vest with other items in your wardrobe.,minutes
Wear a Denim Vest,Find out which sunglasses go well with your vest.,minutes
Effectively Observe a Usability Test,Use descriptive words when describing participants actions.,minutes
Effectively Observe a Usability Test,Maintain order within your notes by coding information.,minutes
Effectively Observe a Usability Test,Create separate notes for participant feedback and personal reflection.,minutes
Make Organic Cat Treats,Bake the treats for 25 minutes.,minutes
Capture a Pet Lizard from the Wild,Make an inviting trap for your lizard:,minutes
Capture a Pet Lizard from the Wild,Get a food that is appropriate for the lizard's size like a cricket or something to that effect.,minutes
Program in Brainf**K,Understand what + and - do.,minutes
Program in Brainf**K,Understand loops.,hours
Program in Brainf**K,Look at an example program.,hours
Diagnose the Cause of a Swollen Abdomen in Cats,Look for signs of malnutrition.,minutes
Diagnose the Cause of a Swollen Abdomen in Cats,Look for signs of infection virus or parasites.,hours
Diagnose the Cause of a Swollen Abdomen in Cats,Discuss your cat's eating patterns.,minutes
Diagnose the Cause of a Swollen Abdomen in Cats,Allow your vet to run bloodwork.,minutes
Oak Beer in a Used Bourbon Barrel,Secure the barrel on a stable platform.,minutes
Oak Beer in a Used Bourbon Barrel,Fill the barrel with beer.,minutes
Oak Beer in a Used Bourbon Barrel,Remove the beer from the barrel and package it.,minutes
Make a PSD File Using Photoshop (Beginner),Resume editing your PSD.,minutes
Remove Mold from Wood Furniture,Prevent the spread of mold spores by cleaning furniture outdoors.,minutes
Remove Mold from Wood Furniture,Vacuum the areas with mold.,minutes
Remove Mold from Wood Furniture,Fight very light mold with sunlight.,minutes
