title,action,minutes
How to Clean Windows,Remove stickers and decals,21-30mins
How to Clean Windows,Remove and clean the screens,1-10mins
How to Develop a Strong High Singing Voice,Breathe from your diaphragm,11-20mins
How to Develop a Strong High Singing Voice,Train your body to hit the high notes,11-20mins
How to Develop a Strong High Singing Voice,Always remember to not strain your voice,1-10mins
How to Develop a Strong High Singing Voice,Improve your posture,1-10mins
How to Develop a Strong High Singing Voice,Get in shape,1-10mins
How to Develop a Strong High Singing Voice,Develop facial flexibility,21-30mins
How to Hook a Bowling Ball,Visualize the line you'll take across the lane,11-20mins
How to Hook a Bowling Ball,Make the necessary adjustments,1-10mins
How to Hook a Bowling Ball,Use the proper grip,11-20mins
How to Dye Silhouettes Onto Easter Eggs,Cut up a pair of pantyhose into squares,1-10mins
How to Share the Road With Cyclists,Look for bike traffic,11-20mins
How to Develop Good Sleeping Habits in Children,Cut down on sugar,11-20mins
How to Develop Good Sleeping Habits in Children,Watch out for food additives,11-20mins
How to Develop Good Sleeping Habits in Children,Ensure that your child's sleep environment is comfortable,1-10mins
How to Develop Good Sleeping Habits in Children,Organize everything your child needs before bed,11-20mins
How to Develop Good Sleeping Habits in Children,Get your child into a routine,11-20mins
How to Develop Good Sleeping Habits in Children,Be sure to include 'wind down time' just before bed,11-20mins
How to Develop Good Sleeping Habits in Children,Plan ahead for how to manage your child's feelings,1-10mins
How to Develop Good Sleeping Habits in Children,Help your child to feel safe,21-30mins
How to Develop Good Sleeping Habits in Children,Get help if your child is having a lot of problems,1-10mins
How to Give Affection,Don't judge people,11-20mins
How to Give Affection,Only share message which will transmit a positive vibe,11-20mins
How to Give Affection,Show empathy and pathos whenever you are having a conversation with someone,21-30mins
How to Give Affection,Join people in activities,1-10mins
How to Give Affection,Do for others what you want them to do for you,11-20mins
How to Give Affection,Kiss and hug the people closest to you,11-20mins
How to Give Affection,Never stop giving affection,21-30mins
How to Calculate Retained Earnings,Understand the relationship between a company's investors and its retained earnings,11-20mins
How to Calculate Retained Earnings,Know the forces that affect retained earnings,21-30mins
How to Calculate Retained Earnings,If you don't have access to net income information begin by calculating gross margin,11-20mins
How to Choose the Right Garden Hose,Decide the length you need the hose to be,21-30mins
How to Choose the Right Garden Hose,Decide how thick you need the hose to be,11-20mins
How to Choose the Right Garden Hose,Select a material based on your climate and watering schedule,1-10mins
How to Choose the Right Garden Hose,Consider your budget,31-40mins
How to Choose the Right Garden Hose,Know your nozzle options,11-20mins
How to Wear Boxers,Make sure you have enough support,1-10mins
How to Wear Boxers,Follow underwear etiquette,11-20mins
How to Wear Boxers,Wear boxers to hide your flaws,1-10mins
How to Wear Boxers,Choose the fabric,11-20mins
How to Wear Boxers,Consider color,11-20mins
How to Help the People in Need,Collect money,11-20mins
How to Help the People in Need,Donate some of your income or savings,1-10mins
How to Help the People in Need,Donate food,1-10mins
How to Make a Fairy Wand,Get a wooden craft dowel and cut it down if necessary,21-30mins
How to Make a Fairy Wand,Paint the dowel and let the paint dry,11-20mins
How to Make a Fairy Wand,Wrap some thin ribbon around the dowel,21-30mins
How to Make a Fairy Wand,Find something to use as a topper,21-30mins
How to Make a Fairy Wand,Decorate the topper and let it dry,1-10mins
How to Make a Fairy Wand,Consider adding some very thin ribbon strands to the top of your wand,21-30mins
How to Make a Fairy Wand,Glue the topper onto the top of the wand,1-10mins
How to Make a Fairy Wand,Let the wand dry before playing with it,11-20mins
How to Handle a Stray Cat,Release the cat carefully,21-30mins
How to Handle a Stray Cat,Try to locate the owner,1-10mins
How to Handle a Stray Cat,Feed and care for the cat on a regular schedule,1-10mins
How to Dance With a Bad Dancer,Restrain yourself from laughing pointing or jeering,31-40mins
How to Dance With a Bad Dancer,Stay confident about yourself,21-30mins
How to Dance With a Bad Dancer,Use your skills to make your partner look good,11-20mins
How to Dance With a Bad Dancer,Suggest learning away from the crowd,11-20mins
How to Dance With a Bad Dancer,Flirt instead,11-20mins
How to Dance With a Bad Dancer,Encourage your partner to loosen up,1-10mins
How to Dance With a Bad Dancer,Don't sweat it,11-20mins
How to Dance With a Bad Dancer,Be polite,11-20mins
How to Dance With a Bad Dancer,Maintain the sense of fun,11-20mins
How to Diagnose and Treat Your Dog's Itchy Skin Problems,Treat your dog for parasitic mites,11-20mins
How to Diagnose and Treat Your Dog's Itchy Skin Problems,Ask about the steroid Prednisone,1-10mins
How to Diagnose and Treat Your Dog's Itchy Skin Problems,Try an antibiotic,1-10mins
How to Repair Severely Cracked and Dry Lips,Choose the right lip balm,21-30mins
How to Repair Severely Cracked and Dry Lips,Try sunscreen,1-10mins
How to Repair Severely Cracked and Dry Lips,Try home remedies,1-10mins
How to Repair Severely Cracked and Dry Lips,Ask your doctor about an antibiotic or antifungal cream,21-30mins
How to Repair Severely Cracked and Dry Lips,Limit your exposure to allergens until lips are healed,1-10mins
How to Repair Severely Cracked and Dry Lips,Do not pick your lips until they heal,11-20mins
How to Repair Severely Cracked and Dry Lips,Stay hydrated,21-30mins
